NODE_ID   LABEL     STATUS    DEGREE
------------------------------------------
0         0         LICIT     62
1         0         LICIT     23
2         0         LICIT     2
3         0         LICIT     2
4         0         LICIT     2
5         0         LICIT     2
6         0         LICIT     0
7         0         LICIT     5
8         0         LICIT     8
9         0         LICIT     2
10        0         LICIT     3
11        0         LICIT     1
12        0         LICIT     1
13        0         LICIT     4
14        0         LICIT     0
15        0         LICIT     0
16        0         LICIT     22
17        0         LICIT     1
18        0         LICIT     0
19        0         LICIT     3
20        0         LICIT     2
21        0         LICIT     1
22        0         LICIT     2
23        0         LICIT     0
24        0         LICIT     8
25        0         LICIT     8
26        0         LICIT     0
27        0         LICIT     2
28        0         LICIT     1
29        0         LICIT     2
30        0         LICIT     2
31        0         LICIT     2
32        0         LICIT     1
33        0         LICIT     3
34        0         LICIT     2
35        0         LICIT     0
36        0         LICIT     245
37        0         LICIT     1
38        0         LICIT     2
39        0         LICIT     1
40        0         LICIT     0
41        0         LICIT     1
42        0         LICIT     1
43        0         LICIT     2
44        0         LICIT     1
45        0         LICIT     0
46        0         LICIT     26
47        0         LICIT     2
48        0         LICIT     1
49        0         LICIT     2
50        0         LICIT     1
51        0         LICIT     0
52        0         LICIT     1
53        0         LICIT     2
54        0         LICIT     2
55        0         LICIT     0
56        0         LICIT     1
57        0         LICIT     2
58        0         LICIT     2
59        0         LICIT     2
60        0         LICIT     1
61        0         LICIT     2
62        0         LICIT     0
63        0         LICIT     4
64        0         LICIT     3
65        0         LICIT     1
66        0         LICIT     0
67        0         LICIT     2
68        0         LICIT     2
69        0         LICIT     2
70        0         LICIT     2
71        0         LICIT     2
72        0         LICIT     3
73        0         LICIT     4
74        0         LICIT     5
75        0         LICIT     1
76        0         LICIT     3
77        0         LICIT     3
78        0         LICIT     3
79        0         LICIT     3
80        0         LICIT     3
81        0         LICIT     2
82        0         LICIT     1
83        0         LICIT     2
84        0         LICIT     5
85        0         LICIT     3
86        0         LICIT     2
87        0         LICIT     1
88        0         LICIT     3
89        0         LICIT     4
90        0         LICIT     4
91        0         LICIT     2
92        0         LICIT     1
93        0         LICIT     2
94        0         LICIT     3
95        0         LICIT     1
96        0         LICIT     32
97        0         LICIT     4
98        0         LICIT     2
99        0         LICIT     2
100       0         LICIT     4
